,Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Reading Time (min)
67,Wings of Fire,APJ Abdul Kalam,4.6,70.0,75,“We are all born with a divine fire in us. Our efforts should be to give wings to this fire”. President Kalam’s inspiring autobiography has touched the hearts of people all over the world. The book talks about the his humble beginnings in a small village in Tamil Nadu and his ascent to one of the most powerful positions in the country. ,1 hour and 15 minutes,",#80 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Presidents & Heads of State,#90 in Biographies & Autobiographies (Books)",15
68,Man's Search for Meaning,Viktor E. Frankl,4.4,12997.0,468,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. ",4 hours and 44 minutes,",#96 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Philosophy (Audible Audiobooks & Originals),#7 in Holocaust,#1,058 in Textbooks & Study Guides",284
69,Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,-1.0,231.0,0,Master English with Learn English - Word Power 101. This audiobook is a completely new way to learn English vocabulary fast - and for free! Start speaking English in minutes with the powerful learning methods you will master in this book. ,37 minutes,",#8 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in English Language Learning",37
70,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3377.0,1005,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",8 hours and 38 minutes,",#116 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Small Businesses,#2 in New Business Enterprises,#7 in Business Management",518
71,The Girl on the Train,Paula Hawkins,4.0,70122.0,888,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",10 hours and 57 minutes,",#98 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Psychological Thrillers,#2 in Crime Thrillers,#87 in Crime, Thriller & Mystery (Books)",657
72,Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1279.0,323,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",10 hours and 17 minutes,",#105 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Creativity & Genius,#7 in Entrepreneurship (Audible Audiobooks & Originals),#18 in Personal Success in Business",617
73,Sapiens,Yuval Noah Harari,4.6,329.0,1171,New York Times Best Seller  ,21 hours and 42 minutes,",#72 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Anthropology (Audible Audiobooks & Originals),#11 in Anthropology (Books)",1302
74,Everything Is F*cked: A Book About Hope,Mark Manson,-1.0,2390.0,10378,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope. ,7 hours and 2 minutes,",#85 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Satire Fiction,#19 in Humour (Books),#24 in Personal Success",422
75,The Girl in Room 105,Chetan Bhagat,-1.0,6643.0,568,"Hi, I'm Keshav, and my life is screwed. I hate my job and my girlfriend left me.",8 hours and 23 minutes,",#79 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychological Thrillers,#1 in Suspense,#1 in Crime Thrillers",503
76,Eat That Frog!,Brian Tracy,4.5,2094.0,351,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",2 hours and 37 minutes,",#57 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Time Management & Productivity,#3 in Business Management,#4 in Business Motivation & Self-Improvement",157
